max,min,wind,rain,humidi,cloud,pressure,date,temp
32,25,7,1.4,73,46,1008,2018-01-23,37.26254921336125
34,23,7,0.1,57,9,1013,2019-01-23,29.837549213361246
35,24,11,0.0,56,13,1012,2020-01-23,31.210025125786764
25,18,5,31.5,90,84,1010,2021-01-23,33.973359213500125
34,23,4,0.0,67,27,1010,2009-01-22,33.98
32,24,9,1.3,77,18,1013,2010-01-22,31.145
34,23,5,6.6,75,40,1010,2011-01-22,35.60835921350012
33,23,6,3.0,70,16,1010,2012-01-22,30.620306154330095
34,24,9,8.0,68,34,1013,2013-01-22,34.16
31,18,8,0.0,58,13,1015,2014-01-22,26.602943725152286
32,22,8,0.0,64,12,1016,2015-01-22,29.042943725152288
35,25,12,0.0,66,13,1013,2016-01-22,31.84153903091735
32,23,8,0.6,69,46,1014,2017-01-22,36.31294372515229
33,25,6,14.1,73,55,1008,2018-01-22,37.775306154330096
33,25,7,0.1,61,27,1013,2019-01-22,34.01754921336124
35,25,12,0.0,59,20,1013,2020-01-22,33.10153903091735
31,24,8,5.1,70,55,1009,2021-01-22,37.35794372515228
29,24,7,0.1,72,63,1011,2009-01-24,38.89754921336125
34,23,9,0.0,64,17,1013,2010-01-24,31.380000000000003
31,23,4,1.8,75,48,1011,2011-01-24,36.59
34,24,6,1.8,72,14,1010,2012-01-24,31.4403061543301
33,24,8,0.0,70,21,1012,2013-01-24,32.38294372515228
33,18,5,0.0,62,2,1013,2014-01-24,25.798359213500124
34,23,9,0.0,61,1,1014,2015-01-24,28.139999999999997
33,26,11,0.2,59,38,1015,2016-01-24,36.30002512578676
33,24,6,0.3,64,57,1013,2017-01-24,39.665306154330096
33,25,8,6.2,72,50,1007,2018-01-24,37.69294372515229
35,23,7,0.0,56,4,1013,2019-01-24,29.332549213361247
36,24,11,0.0,56,6,1012,2020-01-24,30.310025125786762
31,24,8,3.8,71,54,1011,2021-01-24,37.41294372515229
33,24,6,0.0,65,40,1012,2009-01-25,36.31030615433009
34,23,7,0.1,65,40,1013,2010-01-25,36.19754921336124
33,23,6,0.6,67,45,1011,2011-01-25,36.74030615433009
33,24,6,4.3,74,20,1010,2012-01-25,31.805306154330097
33,23,9,0.1,70,32,1012,2013-01-25,33.964999999999996
30,19,8,0.0,71,12,1012,2014-01-25,26.60294372515229
35,23,10,0.0,60,1,1014,2015-01-25,28.522633403898972
33,23,11,0.0,49,15,1015,2016-01-25,30.03002512578676
33,25,6,9.1,70,47,1014,2017-01-25,36.9853061543301
33,26,8,0.0,66,35,1007,2018-01-25,36.002943725152285
34,23,8,0.0,55,4,1014,2019-01-25,28.722943725152287
34,24,14,0.0,63,18,1011,2020-01-25,31.57500556793564
32,24,8,0.0,66,39,1011,2021-01-25,35.38294372515229
36,21,5,0.0,64,9,1011,2009-01-21,30.19835921350013
31,22,11,0.0,79,31,1013,2010-01-21,32.29002512578676
33,23,4,7.7,74,44,1010,2011-01-21,35.864999999999995
33,23,9,0.0,68,17,1009,2012-01-21,30.880000000000003
35,25,7,0.0,64,23,1013,2013-01-21,34.29254921336125
30,20,7,0.0,62,36,1015,2014-01-21,31.892549213361242
34,23,8,0.0,62,4,1016,2015-01-21,28.902943725152284
35,25,15,0.0,61,7,1012,2016-01-21,30.276209992275547
32,24,7,6.1,72,44,1013,2017-01-21,35.73754921336125
34,25,6,1.1,66,48,1008,2018-01-21,38.68530615433009
34,25,10,0.0,59,24,1012,2019-01-21,33.56263340389897
35,24,10,0.0,55,25,1013,2020-01-21,33.70263340389897
33,24,8,0.0,65,32,1010,2021-01-21,34.44294372515228
34,23,6,0.0,60,7,1011,2009-01-28,29.590306154330094
33,24,8,0.0,60,33,1013,2010-01-28,34.602943725152286
34,23,6,3.8,69,32,1011,2011-01-28,34.20030615433009
31,24,7,3.5,75,55,1009,2012-01-28,37.80754921336125
33,24,7,0.0,66,19,1013,2013-01-28,32.03254921336124
31,21,6,0.0,69,30,1012,2014-01-28,31.890306154330094
35,24,9,0.0,62,2,1012,2015-01-28,29.319999999999997
34,26,12,0.0,60,25,1012,2016-01-28,34.101539030917344
32,22,8,0.0,63,12,1012,2017-01-28,28.942943725152286
33,25,6,15.3,74,67,1009,2018-01-28,40.035306154330094
35,23,9,0.0,55,8,1013,2019-01-28,29.900000000000002
34,24,14,0.0,69,19,1011,2020-01-28,31.895005567935637
33,25,9,0.0,63,25,1011,2021-01-28,33.42
35,22,7,0.0,60,6,1011,2009-01-29,29.272549213361245
33,26,8,0.0,57,35,1013,2010-01-29,35.94294372515229
34,22,7,1.5,62,23,1011,2011-01-29,31.98754921336124
32,24,9,16.5,77,48,1009,2012-01-29,34.785000000000004
33,24,8,0.0,67,21,1012,2013-01-29,32.322943725152285
30,22,7,0.0,67,29,1013,2014-01-29,31.552549213361246
36,21,10,0.0,61,2,1012,2015-01-29,28.20263340389897
35,26,12,0.0,65,28,1012,2016-01-29,35.30153903091735
32,24,6,0.0,68,20,1012,2017-01-29,31.870306154330095
33,25,6,0.2,72,49,1010,2018-01-29,38.6803061543301
34,24,11,0.0,59,22,1013,2019-01-29,32.59002512578676
34,23,12,0.0,69,28,1012,2020-01-29,33.381539030917345
34,24,7,0.0,56,12,1012,2021-01-29,30.91254921336125
36,24,8,0.0,62,3,1011,2009-01-31,30.102943725152286
36,25,9,1.0,57,25,1013,2010-01-31,34.690000000000005
34,22,6,0.0,64,15,1012,2011-01-31,30.790306154330096
34,24,7,4.4,72,27,1010,2012-01-31,33.53254921336125
35,24,9,0.0,62,31,1013,2013-01-31,35.14
31,23,7,0.0,67,12,1013,2014-01-31,29.152549213361247
35,22,9,0.0,56,0,1014,2015-01-31,27.84
34,26,13,0.0,57,42,1011,2016-01-31,37.33666923472161
32,23,7,0.0,66,20,1011,2017-01-31,31.192549213361247
34,26,7,0.2,65,37,1011,2018-01-31,37.04254921336125
34,25,9,0.0,54,28,1013,2019-01-31,34.379999999999995
33,23,9,0.0,58,17,1012,2020-01-31,30.74
34,24,8,0.0,56,14,1012,2021-01-31,31.202943725152288
35,23,4,0.0,63,26,1012,2009-01-26,34.24
34,25,6,0.2,65,57,1013,2010-01-26,40.70030615433009
34,23,8,1.4,66,30,1012,2011-01-26,33.89294372515228
32,23,6,0.1,71,34,1010,2012-01-26,34.175306154330094
33,24,9,0.0,68,15,1012,2013-01-26,31.04
31,20,7,0.0,69,14,1013,2014-01-26,28.092549213361245
35,23,9,0.0,60,2,1013,2015-01-26,28.799999999999997
32,23,9,0.0,54,26,1014,2016-01-26,31.999999999999996
32,25,7,2.7,69,39,1013,2017-01-26,35.687549213361244
34,25,6,1.0,66,33,1008,2018-01-26,35.70030615433009
34,22,8,0.0,58,20,1014,2019-01-26,31.482943725152285
35,24,9,0.0,68,17,1010,2020-01-26,32.4
33,24,9,0.0,63,31,1010,2021-01-26,34.1
35,23,7,0.0,62,5,1012,2009-02-01,29.632549213361244
36,24,8,0.0,63,14,1012,2010-02-01,32.34294372515228
35,23,6,0.0,64,13,1011,2011-02-01,31.3703061543301
34,24,7,1.5,70,20,1011,2012-02-01,32.54754921336124
35,24,8,0.0,62,27,1013,2013-02-01,34.44294372515228
32,21,6,0.0,68,29,1012,2014-02-01,32.17030615433009
33,23,11,0.0,52,4,1014,2015-02-01,27.87002512578676
35,25,12,0.0,60,30,1011,2016-02-01,35.08153903091735
34,24,5,0.4,66,30,1011,2017-02-01,34.878359213500126
35,25,8,0.2,60,35,1011,2018-02-01,36.432943725152285
35,25,9,0.0,54,29,1013,2019-02-01,35.08
35,23,9,0.0,55,12,1012,2020-02-01,30.680000000000003
34,25,9,0.0,60,14,1012,2021-02-01,31.68
34,22,6,0.0,58,11,1012,2009-02-02,29.870306154330095
